Full_Name,First_Name,Last_Name,Gender,Date_of_Birth,Hire_Date,Email,Age,Experience_Years,City,Job_Title,Marital_Status,Education_Level,Salary
Abdelrahman Saad,Abdelrahman,Saad,M,09/26/1997,12/05/2025,abdelrahman.saad@gmail.com,28.0,0,"Dubai, UAE",Software Developer,Single,M.Sc.,
Nada Hany,Nada,Hany,F,1971/09/02,2021/11/30,nhany@gmail.com,54.0,4,"Mexico City, Mexico",data scinetist,S,B.Sc.,4274.58 CAD
Hala Nader,Hala,Nader,F,1995/02/05,2015/05/11,hnader@gmail.com,30.0,10,"Istanbul, Turkey",*data scinetist,Single,High School,11177.08 EGP
Dina Nashaat,Dina,Nashaat,F,06/08/2001,02/04/2023,dina.nashaat@gmail.com,24.0,3,"Bangkok, Thailand",Pharmacist,Single,B.Sc.,67749.0 USD
Eslam Fady,Eslam,Fady,M,03/16/1976,02/18/2007,eslam.fady@gmail.com,49.0,19,"Dubai, UAE",CIVIL ENGINEER,Married,B.Sc.,135173.0 JPY
 Mariam Yahya ,Mariam,Yahya,F,09/15/1990,10/15/2009,mariam.yahya@gmail.com,35.0,16,"Seoul, South Korea",Mechanical Enginere,Married,Masters,8549.92 AUD
Ali Hussein,Ali,Hussein,M,1995/01/03,2024/11/24,ALI.HUSSEIN@GMAIL.COM,30.0,1,"Dammam, KSA",SALES MANAGR,Married,M.Sc.,
Ruqayya Sami,Ruqayya,Sami,F,09-05-2004,08-07-2025,ruqayya.sami@gmail.com,21.0,0,"Istanbul, Turkey",DOCTOR,Married,BS,
Hany Khalil,Hany,Khalil,M,07/12/1977,04/21/2018,hany.khalil@gmail.com,48.0,7,"Kuw@it City, Kuw@it",lawyer,Married,Masters,6494.17 EGP
Dina Fady,Dina,Fady,F,01-09-1969,25-12-2025,dfady@gmail.com,,0,"Kuwait City, Kuwait",Civil Engineer,Married,PhD,
Yasmeen Nashaat,Yasmeen,Nashaat,F,02-07-2004,15-10-2024,ynashaat@gmail.com,21.0,1,"Sydney, Australia",Civil Engineer,Single,M.Sc.,
Amr Maged,Amr,Maged,M,27-07-1984,17-05-2017,amr.maged@gmail.com,41.0,8,"Los Angeles, USA",Dentist,Married,BS,82546.0 CAD
Lobna Ashraf,Lobna,Ashraf,F,06-09-1984,19-06-2006,lobna.ashraf@gmail.com,41.0,19,"Buenos Aires, Argentina",Accountant,Single,BS,105982.0 AUD
Lina Nashaat,Lina,Nashaat,F,1979/07/08,2019/02/18,lina.nashaat@gmail.com,46.0,6,"Rabat, Morocco",Lawyer,,B.Sc.,98478.0 USD
Reem Waleed,Reem,Waleed,F,05-10-1983,12-10-2010,reem.waleed@gmail.com,42.0,15,"Muscat, Oman",pHARmaCISt,Unknown,PhD,10226.25 EUR
Galal Kamal,Galal,Kamal,M,04/19/1978,01/28/2022,gkamal@gmail.com,47.0,4,"New York, USA",lawyer,Married,High School,4489.5 CAD
Radwa Mahmoud,Radwa,Mahmoud,F,1979/05/21,2005/05/09,radwa.mahmoud@gmail.com,46.0,20,"Dammam, KSA",Business Analyst,Married,Diploma,108799.0 GBP
Maged Ali,Maged,Ali,M,28-08-1999,27-06-2018,maged.ali@gmail.com,26.0,7,"Toronto, Canada",Dentist,Married,Diploma,7148.25 AUD
Reem Youssef,Reem,Youssef,F,1985/09/10,2008/08/21,reem.youssef@gmail.com,40.0,17,"Muscat, Oman",Sales Manager,Single,B.Sc.,9332.0 CAD
Maha Latif,Maha,Latif,F,18-01-1980,10-11-2009,maha.latif@gmail.com,45.0,16,"Sydney, Australia",Business Analyst,Single,Bachelor,110288.0 EGP
Rania Khalil,Rania,Khalil,F,19-02-1989,17-07-2021,rkhalil@gmail.com,36.0,4,"São Paulo, Brazil",deNTISt,Married,B.Sc.,5336.92 USD
Wahid Jamal,Wahid,Jamal,M,1997/05/04,2022/11/25,wahid.jamal@gmail.com,28.0,3,"Moscow, Russia",Sales Manager,S,Bachelor,5552.42 AUD
Heba Ziad,Heba,Ziad,F,03/24/1993,02/22/2013,heba.ziad@gmail.com,32.0,12,"Istanbul, Turkey",Pharmacist,Single,Bachelor,136610.0 CAD
Hossam Galal,Hossam,Galal,M,1981/12/19,2023/09/08,hgalal@gmail.com,44.0,2,"Buenos Aires, Argentina",Architect,Married,Bachelor,5701.58 USD
Mohamed Bassem,Mohamed,Bassem,M,25-06-1967,02-01-2016,mohamed.bassem@gmail.com,,10,"Bangkok, Thailand",Accountant,Married,Bachelor,120603.0 EUR
 Eslam Tawfik ,Eslam,Tawfik,M,1991/03/14,2012/03/19,eslam.tawfik@gmail.com,34.0,13,"Kuwait City, Kuwait",Lawyer,Unknown,High School,143424.0 JPY
Ramy Hamza,Ramy,Hamza,M,1990/01/28,2023/02/18,rhamza@gmail.com,35.0,2,"Cape Town, South Africa",Sales Manager,Single,Bachelor,5473.33 JPY
Sana Nabil,Sana,Nabil,F,11-05-2006,17-10-2024,snabil@gmail.com,,1,"London, UK",Sales Manager,Married,High School,
Lobna Nader,Lobna,Nader,F,03/25/1972,03/27/2012,lobna.nader@gmail.com,53.0,13,"Alexandria, Egypt",Architect,Single,PhD,8530.08 EGP
Hamza Saad,Hamza,Saad,M,23-08-1969,04-06-1988,hsaad@gmail.com,,37,"São Paulo, Brazil",Nurse,Married,Masters,138053.0 CAD
Ziad Mahmoud,Ziad,Mahmoud,M,2006/04/03,2024/05/14,ziad.mahmoud@gmail.com,,1,"Paris, France",accountant,M,Diploma,
Dina Ahmed,Dina,Ahmed,F,1994/02/24,2013/04/12,dina.ahmed@gmail.com,31.0,12,"Abu Dhabi, UAE",Electrical Enginere,Unknown,BS,8408.58 AUD
Menna Mohamed,Menna,Mohamed,F,2000/10/22,2022/05/23,menna.mohamed@gmail.com,25.0,3,"Buenos Aires, Argentina",archiTecT,Married,M.Sc.,62965.0 EGP
Sara Mostafa,Sara,Mostafa,F,10/02/2007,01/22/2026,sara.mostafa@gmail.com,,0,"Muscat, Oman",Financial Analyst,Married,M.Sc.,
Salma Rafik,Salma,Rafik,F,1976/10/12,2022/03/22,srafik@gmail.com,49.0,3,"Sydney, Australia",Business Analyst,Single,BS,5048.33 AUD
Noha Tawfik,Noha,Tawfik,F,27-10-1998,15-10-2016,noha.tawfik@gmail.com,27.0,9,"Beirut, Lebanon",Engineer,Married,BS,70376.0 JPY
Khaled Hany,Khaled,Hany,M,02/02/2001,05/19/2023,khaled.hany@gmail.com,24.0,2,"Moscow, Russia",Software Developer,Single,Bachelor,65296.0 USD
Menna Galal,Menna,Galal,F,1975/01/06,1995/04/08,menna.galal@gmail.com,50.0,30,"New York, USA",Financial Annalyst,Married,Diploma,127436.0 AUD
Abdelrahman Nabil,Abdelrahman,Nabil,M,26-11-1972,12-09-2008,abdelrahman.nabil@gmail.com,53.0,17,"Beirut, Lebanon",DENTIST,Unknown,High School,11910.08 AUD
Kamal Hamza,Kamal,Hamza,M,03/22/1967,06/20/1987,kamal.hamza@gmail.com,,38,"Riyadh, KSA",Pharmacist,Married,Bachelor,110954.0 EGP
Hany Khaled,Hany,Khaled,M,2000/03/01,2020/08/03,hkhaled@gmail.com,25.0,5,"Tokyo, Japan",Financial Analyst,Married,Masters,91872.0 EGP
Ghada Nashaat,Ghada,Nashaat,F,1999/02/26,2023/03/03,gnashaat@gmail.com,26.0,2,"Sharjah, UAE",Docteur,Married,Masters,5693.08 CAD
Reem Hesham,Reem,Hesham,F,03/01/1967,10/27/2021,reem.hesham at gmail.com,,4,"Bangkok, Thailand",accountant,Single,B.Sc.,4505.17 GBP
Saad Ziad,Saad,Ziad,M,11/14/1986,05/10/2023,sziad@gmail.com,39.0,2,"Rabat, Morocco",Business Analyst,S,High School,4543.5 JPY
Osama Ramy,Osama,Ramy,M,22-10-1977,14-12-1997,ORAMY@GMAIL.COM,48.0,28,"Alexandria, Egypt",Graphic Designer,Married,High School,116349.0 EGP
Ahmed Ramy,Ahmed,Ramy,M,22-11-1994,30-04-2013,ahmed.ramy@gmail.com,31.0,12,"Tokyo, Japan",Pharmacist,Married,M.Sc.,146409.0 GBP
Tamer Tamer,Tamer,Tamer,M,1989/04/14,2015/11/05,tamer.tamer@gmail.com,36.0,10,"Dammam, KSA",Software Developer,Single,B.Sc.,139712.0 GBP
Zainab Ayman,Zainab,Ayman,F,04/08/1998,10/21/2023,zainab.ayman@gmail.com,27.0,2,"Moscow, Russia",Nurse,Single,B.Sc.,5575.25 EUR
Maha Saad,Maha,Saad,F,1969/01/18,2015/12/27,maha.saad@gmail.com,,10,"Moscow, Russia",Data Scientist,Single,B.Sc.,8806.58 AUD
Eslam Eslam,Eslam,Eslam,M,1966/07/24,2020/02/14,eslam.eslam@gmail.com,,6,"Dubai, UAE",DOCTOR,Married,PhD,7610.67 CAD
Ihab Jamal,Ihab,Jamal,M,19-02-1975,23-05-2017,ijamal@gmail.com,50.0,8,"Doha, Qatar",Mechanical Engineer,Single,High School,88071.0 JPY
Rafik Wael,Rafik,Wael,M,1984/10/27,2007/02/09,rafik.wael@gmail.com,41.0,19,"Mansoura, Egypt",Data sCiEntIST,Married,M.Sc.,114483.0 JPY
Radwa Zaki,Radwa,Zaki,F,02-09-1977,12-09-2006,radwa.zaki@gmail.com,48.0,19,"Mumbai, India",Dentist,Married,M.Sc.,126716.0 AUD
Wafaa Hussein,Wafaa,Hussein,F,11/09/1984,06/15/2009,whussein@gmail.com,41.0,16,"New York, USA",aRChItECT,Single,PhD,144803.0 CAD
Sana Sherif,Sana,Sherif,F,14-01-1984,20-10-2003,sana.sherif@gmail.com,41.0,22,"Mumbai, India",Sales Manager,Unknown,PhD,125697.0 USD
Esraa Ihab,Esraa,Ihab,F,07-08-1972,22-12-2004,esraa.ihab@gmail.com,53.0,21,"Doha, Qatar",Data Scientist,Married,Masters,122114.0 EUR
Fady Ziad,Fady,Ziad,M,13-03-1988,27-06-2011,fady.ziad@gmail.com,37.0,14,"Cape Town, South Africa",Civil Engineer,Married,M.Sc.,11960.5 JPY
Tamer Mahmoud,Tamer,Mahmoud,M,12-10-1998,17-12-2021,tmahmoud@gmail.com,27.0,4,"Paris, France",Pharmacist,Single,High School,55844.0 JPY
Khalil Ayman,Khalil,Ayman,M,1982/08/03,2006/05/12,khalil.ayman@gmail.com,43.0,19,"Seoul, South Korea",Financial Analyist,Single,M.Sc.,11485.75 AUD
Yahya Zaki,Yahya,Zaki,M,12-04-1990,10-05-2024,yahya.zaki@gmail.com,35.0,1,"Cape Town, South Africa",Architect,Married,High School,
Ziad Nabil,Ziad,Nabil,M,04/01/1972,03/04/2000,znabil@gmail.com,53.0,25,"New York, USA",accountant,M,Masters,10676.42 EUR
Mariam Rafik,Mariam,Rafik,F,05/11/1996,04/09/2021,mariam.rafik@gmail.com,29.0,4,"New York, USA",Architect,Single,M.Sc.,4531.92 USD
Heba Wael,Heba,Wael,F,05-10-1983,12-08-2010,hwael@gmail.com,42.0,15,"London, UK",Electrical Engineer,Single,Diploma,10786.08 CAD
Esraa Mostafa,Esraa,Mostafa,F,08-02-1994,30-06-2012,esraa.mostafa@gmail.com,31.0,13,"Cape Town, South Africa",Teacher,Unknown,B.Sc.,118899.0 AUD
Sherif Mounir,Sherif,Mounir,M,02/12/1965,03/07/1998,sherif.mounir@gmail.com,,27,"Istanbul, Turkey",Dentist,Married,High School,12139.5 AUD
Abdelrahman Mounir,Abdelrahman,Mounir,M,2001/01/12,2022/06/03,amounir@gmail.com,24.0,3,"Bangkok, Thailand",GRAPHIC DESIGNER,S,PhD,65857.0 GBP
Noha Wahid,Noha,Wahid,F,14-04-1993,05-03-2023,noha.wahid@gmail.com,32.0,2,"Seoul, South Korea",tEECheR,Single,BS,67746.0 CAD
Abdelrahman Ramy,Abdelrahman,Ramy,M,1975/04/25,1996/09/23,abdelrahman.ramy@gmail.com,50.0,29,"Rabat, Morocco",Teacher,,B.Sc.,146988.0 USD
Kamal Mahmoud,Kamal,Mahmoud,M,08/02/1983,05/21/2012,kmahmoud@gmail.com,42.0,13,"Mansoura, Egypt",Software Develoeper,,B.Sc.,12353.5 EGP
Aisha Galal,Aisha,Galal,F,07/01/1976,01/16/2011,AISHA.GALAL@GMAIL.COM,49.0,15,"Seoul, South Korea",Teecher,Single,PhD,8736.17 CAD
