,Full_Name,First_Name,Last_Name,Gender,Date_of_Birth,Hire_Date,Email,Age,Experience_Years,City,Job_Title,Marital_Status,Education_Level,Salary,Country,Salary_Amount,Salary_Currency,Salary_USD
0,Abdelrahman Saad,Abdelrahman,Saad,M,1997-09-26,2025-12-05,abdelrahman.saad@gmail.com,28,0,Dubai,Software Developer,S,Master,44600.80835820896 CAD,United Arab Emirates,44600,CAD,32558.0
1,Nada Hany,Nada,Hany,F,1971-09-02,2021-11-30,nhany@gmail.com,54,4,Mexico City,Data Scientist,S,Bachelor,4274.58 CAD,Mexico,4274,CAD,3120.02
2,Hala Nader,Hala,Nader,F,1995-02-05,2015-05-11,hnader@gmail.com,30,10,Istanbul,Data Scientist,S,High School,11177.08 EGP,Turkey,11177,EGP,357.66
3,Dina Nashaat,Dina,Nashaat,F,2001-06-08,2023-02-04,dina.nashaat@gmail.com,24,3,Bangkok,Pharmacist,S,Bachelor,67749.0 USD,Thailand,67749,USD,67749.0
4,Eslam Fady,Eslam,Fady,M,1976-03-16,2007-02-18,eslam.fady@gmail.com,49,19,Dubai,Civil Engineer,M,Bachelor,135173.0 JPY,United Arab Emirates,135173,JPY,892.14
5, Mariam Yahya ,Mariam,Yahya,F,1990-09-15,2009-10-15,mariam.yahya@gmail.com,35,16,Seoul,Mechanical Engineer,M,Masters,8549.92 AUD,South Korea,8549,AUD,5556.85
6,Ali Hussein,Ali,Hussein,M,1995-01-03,2024-11-24,ali.hussein@gmail.com,30,1,Dammam,Sales Manager,M,Master,65233.85413333333 USD,Saudi Arabia,65233,USD,65233.0
7,Ruqayya Sami,Ruqayya,Sami,F,2004-09-05,2025-08-07,ruqayya.sami@gmail.com,21,0,Istanbul,Doctor,M,Bachelor,53848.970357142854 USD,Turkey,53848,USD,53848.0
8,Hany Khalil,Hany,Khalil,M,1977-07-12,2018-04-21,hany.khalil@gmail.com,48,7,Kuwait City,Lawyer,M,Masters,6494.17 EGP,Kuwait,6494,EGP,207.81
9,Dina Fady,Dina,Fady,F,1969-01-09,2025-12-25,dfady@gmail.com,56,0,Kuwait City,Civil Engineer,M,PhD,59043.128500000006 CAD,Kuwait,59043,CAD,43101.39
10,Yasmeen Nashaat,Yasmeen,Nashaat,F,2004-02-07,2024-10-15,ynashaat@gmail.com,21,1,Sydney,Civil Engineer,S,Master,56815.08882352941 CAD,Australia,56815,CAD,41474.95
11,Amr Maged,Amr,Maged,M,1984-07-27,2017-05-17,amr.maged@gmail.com,41,8,Los Angeles,Dentist,M,Bachelor,82546.0 CAD,United States,82546,CAD,60258.58
12,Lobna Ashraf,Lobna,Ashraf,F,1984-06-09,2006-06-19,lobna.ashraf@gmail.com,41,19,Buenos Aires,Accountant,S,Bachelor,105982.0 AUD,Argentina,105982,AUD,68888.3
15,Galal Kamal,Galal,Kamal,M,1978-04-19,2022-01-28,gkamal@gmail.com,47,4,New York,Lawyer,M,High School,4489.5 CAD,United States,4489,CAD,3276.97
16,Radwa Mahmoud,Radwa,Mahmoud,F,1979-05-21,2005-05-09,radwa.mahmoud@gmail.com,46,20,Dammam,Business Analyst,M,Diploma,108799.0 GBP,Saudi Arabia,108799,GBP,135998.75
17,Maged Ali,Maged,Ali,M,1999-08-28,2018-06-27,maged.ali@gmail.com,26,7,Toronto,Dentist,M,Diploma,7148.25 AUD,Canada,7148,AUD,4646.2
18,Reem Youssef,Reem,Youssef,F,1985-09-10,2008-08-21,reem.youssef@gmail.com,40,17,Muscat,Sales Manager,S,Bachelor,9332.0 CAD,Oman,9332,CAD,6812.36
19,Maha Latif,Maha,Latif,F,1980-01-18,2009-10-11,maha.latif@gmail.com,45,16,Sydney,Business Analyst,S,Bachelor,110288.0 EGP,Australia,110288,EGP,3529.22
20,Rania Khalil,Rania,Khalil,F,1989-02-19,2021-07-17,rkhalil@gmail.com,36,4,São Paulo,Dentist,M,Bachelor,5336.92 USD,Brazil,5336,USD,5336.0
21,Wahid Jamal,Wahid,Jamal,M,1997-05-04,2022-11-25,wahid.jamal@gmail.com,28,3,Moscow,Sales Manager,S,Bachelor,5552.42 AUD,Russia,5552,AUD,3608.8
22,Heba Ziad,Heba,Ziad,F,1993-03-24,2013-02-22,heba.ziad@gmail.com,32,12,Istanbul,Pharmacist,S,Bachelor,136610.0 CAD,Turkey,136610,CAD,99725.3
23,Hossam Galal,Hossam,Galal,M,1981-12-19,2023-09-08,hgalal@gmail.com,44,2,Buenos Aires,Architect,M,Bachelor,5701.58 USD,Argentina,5701,USD,5701.0
24,Mohamed Bassem,Mohamed,Bassem,M,1967-06-25,2016-02-01,mohamed.bassem@gmail.com,57,10,Bangkok,Accountant,M,Bachelor,120603.0 EUR,Thailand,120603,EUR,129045.21
26,Ramy Hamza,Ramy,Hamza,M,1990-01-28,2023-02-18,rhamza@gmail.com,35,2,Cape Town,Sales Manager,S,Bachelor,5473.33 JPY,South Africa,5473,JPY,36.12
27,Sana Nabil,Sana,Nabil,F,2006-11-05,2024-10-17,snabil@gmail.com,18,1,London,Sales Manager,M,High School,55164.98 AUD,United Kingdom,55164,AUD,35856.6
28,Lobna Nader,Lobna,Nader,F,1972-03-25,2012-03-27,lobna.nader@gmail.com,53,13,Alexandria,Architect,S,PhD,8530.08 EGP,Egypt,8530,EGP,272.96
29,Hamza Saad,Hamza,Saad,M,1969-08-23,1988-04-06,hsaad@gmail.com,55,37,São Paulo,Nurse,M,Masters,138053.0 CAD,Brazil,138053,CAD,100778.69
30,Ziad Mahmoud,Ziad,Mahmoud,M,2006-04-03,2024-05-14,ziad.mahmoud@gmail.com,19,1,Paris,Accountant,M,Diploma,57970.72727272727 EUR,France,57970,EUR,62027.9
32,Menna Mohamed,Menna,Mohamed,F,2000-10-22,2022-05-23,menna.mohamed@gmail.com,25,3,Buenos Aires,Architect,M,Master,62965.0 EGP,Argentina,62965,EGP,2014.88
33,Sara Mostafa,Sara,Mostafa,F,2007-10-02,2026-01-22,sara.mostafa@gmail.com,17,0,Muscat,Financial Analyst,M,Master,61111.18466666667 AUD,Oman,61111,AUD,39722.15
34,Salma Rafik,Salma,Rafik,F,1976-10-12,2022-03-22,srafik@gmail.com,49,3,Sydney,Business Analyst,S,Bachelor,5048.33 AUD,Australia,5048,AUD,3281.2
35,Noha Tawfik,Noha,Tawfik,F,1998-10-27,2016-10-15,noha.tawfik@gmail.com,27,9,Beirut,Engineer,M,Bachelor,70376.0 JPY,Lebanon,70376,JPY,464.48
36,Khaled Hany,Khaled,Hany,M,2001-02-02,2023-05-19,khaled.hany@gmail.com,24,2,Moscow,Software Developer,S,Bachelor,65296.0 USD,Russia,65296,USD,65296.0
37,Menna Galal,Menna,Galal,F,1975-01-06,1995-04-08,menna.galal@gmail.com,50,30,New York,Financial Analyst,M,Diploma,127436.0 AUD,United States,127436,AUD,82833.4
39,Kamal Hamza,Kamal,Hamza,M,1967-03-22,1987-06-20,kamal.hamza@gmail.com,58,38,Riyadh,Pharmacist,M,Bachelor,110954.0 EGP,Saudi Arabia,110954,EGP,3550.53
40,Hany Khaled,Hany,Khaled,M,2000-03-01,2020-08-03,hkhaled@gmail.com,25,5,Tokyo,Financial Analyst,M,Masters,91872.0 EGP,Japan,91872,EGP,2939.9
41,Ghada Nashaat,Ghada,Nashaat,F,1999-02-26,2023-03-03,gnashaat@gmail.com,26,2,Sharjah,Doctor,M,Masters,5693.08 CAD,United Arab Emirates,5693,CAD,4155.89
42,Reem Hesham,Reem,Hesham,F,1967-03-01,2021-10-27,reem.hesham@gmail.com,58,4,Bangkok,Accountant,S,Bachelor,4505.17 GBP,Thailand,4505,GBP,5631.25
43,Saad Ziad,Saad,Ziad,M,1986-11-14,2023-05-10,sziad@gmail.com,39,2,Rabat,Business Analyst,S,High School,4543.5 JPY,Morocco,4543,JPY,29.98
44,Osama Ramy,Osama,Ramy,M,1977-10-22,1997-12-14,oramy@gmail.com,48,28,Alexandria,Graphic Designer,M,High School,116349.0 EGP,Egypt,116349,EGP,3723.17
45,Ahmed Ramy,Ahmed,Ramy,M,1994-11-22,2013-04-30,ahmed.ramy@gmail.com,31,12,Tokyo,Pharmacist,M,Master,146409.0 GBP,Japan,146409,GBP,183011.25
46,Tamer Tamer,Tamer,Tamer,M,1989-04-14,2015-11-05,tamer.tamer@gmail.com,36,10,Dammam,Software Developer,S,Bachelor,139712.0 GBP,Saudi Arabia,139712,GBP,174640.0
47,Zainab Ayman,Zainab,Ayman,F,1998-04-08,2023-10-21,zainab.ayman@gmail.com,27,2,Moscow,Nurse,S,Bachelor,5575.25 EUR,Russia,5575,EUR,5965.25
48,Maha Saad,Maha,Saad,F,1969-01-18,2015-12-27,maha.saad@gmail.com,56,10,Moscow,Data Scientist,S,Bachelor,8806.58 AUD,Russia,8806,AUD,5723.9
49,Eslam Eslam,Eslam,Eslam,M,1966-07-24,2020-02-14,eslam.eslam@gmail.com,58,6,Dubai,Doctor,M,PhD,7610.67 CAD,United Arab Emirates,7610,CAD,5555.3
50,Ihab Jamal,Ihab,Jamal,M,1975-02-19,2017-05-23,ijamal@gmail.com,50,8,Doha,Mechanical Engineer,S,High School,88071.0 JPY,Qatar,88071,JPY,581.27
51,Rafik Wael,Rafik,Wael,M,1984-10-27,2007-02-09,rafik.wael@gmail.com,41,19,Mansoura,Data Scientist,M,Master,114483.0 JPY,Egypt,114483,JPY,755.59
52,Radwa Zaki,Radwa,Zaki,F,1977-02-09,2006-12-09,radwa.zaki@gmail.com,48,19,Mumbai,Dentist,M,Master,126716.0 AUD,India,126716,AUD,82365.4
53,Wafaa Hussein,Wafaa,Hussein,F,1984-11-09,2009-06-15,whussein@gmail.com,41,16,New York,Architect,S,PhD,144803.0 CAD,United States,144803,CAD,105706.19
